DATE,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
2016-01-05,0.71595,1.07502,1.46733,0.66977,1.39874,1.00859,119.11
2016-01-06,0.7088345833333333,1.0753983333333335,1.4641983333333333,0.6644920833333333,1.4063154166666667,1.0087058333333332,118.58033333333333
2016-01-07,0.70206625,1.0853125,1.4602199999999999,0.6632320833333333,1.41041,1.0006958333333333,117.83320833333333
2016-01-08,0.7013713636363637,1.088425,1.4582709090909092,0.6602954545454546,1.4111277272727272,0.9973854545454546,118.05922727272727
2016-01-10,0.69353,1.09406,1.4514049999999998,0.65164,1.418315,0.99264,116.933
2016-01-11,0.6986533333333332,1.0892716666666666,1.45477125,0.65480625,1.4169479166666668,0.9973066666666667,117.50691666666667
2016-01-12,0.6982883333333333,1.0857991666666666,1.4467345833333332,0.6542216666666666,1.4241270833333335,1.0010029166666665,117.67295833333333
2016-01-13,0.70025125,1.084215,1.443935,0.6549741666666666,1.426595,1.0063379166666666,118.05620833333334
2016-01-14,0.6956454166666667,1.0880229166666666,1.4402675,0.6472025,1.4363979166666667,1.00568625,117.835375
2016-01-15,0.6901304545454545,1.0909854545454545,1.4345190909090908,0.6431663636363637,1.4468281818181818,1.0023172727272727,117.34763636363637
2016-01-17,0.6855100000000001,1.09142,1.426445,0.6438200000000001,1.457205,1.001665,116.949
2016-01-18,0.6882029166666667,1.0893525,1.4270741666666666,0.645505,1.4527075,1.0048691666666667,117.29954166666666
2016-01-19,0.6910016666666667,1.0892029166666666,1.4227429166666667,0.6461479166666667,1.4511220833333331,1.0048520833333334,117.68820833333332
2016-01-20,0.6875241666666666,1.0918983333333334,1.4166816666666666,0.6387979166666667,1.4594758333333333,1.0021808333333333,116.76904166666667
2016-01-21,0.69430375,1.0873870833333334,1.4177808333333335,0.6464154166666667,1.4402070833333334,1.0066779166666666,117.23429166666666
2016-01-22,0.7014336363636363,1.0824745454545455,1.426805,0.6506990909090908,1.420039090909091,1.0116413636363637,118.23422727272727
2016-01-24,0.7,1.0794899999999998,1.425905,0.6471750000000001,1.41418,1.01642,118.64949999999999
2016-01-25,0.6982491666666667,1.0825695833333333,1.4265133333333333,0.64821625,1.4202404166666664,1.0142591666666667,118.51195833333333
2016-01-26,0.6978670833333332,1.084655,1.427185,0.6472574999999999,1.4194112499999998,1.0157266666666667,118.28629166666667
2016-01-27,0.7036558333333334,1.08757125,1.4300724999999999,0.6485983333333333,1.4101195833333333,1.0160758333333335,118.4565
2016-01-28,0.7069320833333333,1.0915620833333335,1.43107625,0.6463720833333334,1.40709,1.01450625,118.77104166666668
2016-01-29,0.7091622727272727,1.0883004545454547,1.4300440909090908,0.6491195454545454,1.402876818181818,1.0196795454545453,120.59240909090909
2016-01-31,0.7065250000000001,1.08273,1.423915,0.646685,1.397835,1.0239850000000001,121.3655
2016-02-01,0.70784875,1.08695125,1.43222,0.6491391666666667,1.3999954166666668,1.0205658333333334,121.15595833333333
2016-02-02,0.7061766666666668,1.0912033333333333,1.440315,0.6505245833333333,1.4019133333333331,1.0194050000000001,120.43175000000001
2016-02-03,0.7086012500000001,1.09871875,1.45012625,0.6607366666666666,1.3941212500000002,1.0125875,118.88683333333334
2016-02-04,0.7198924999999999,1.1156620833333333,1.4594229166666668,0.6700391666666666,1.3729108333333333,0.99935875,117.37124999999999
2016-02-05,0.7144922727272728,1.1174304545454545,1.4523613636363637,0.6672531818181818,1.3788686363636364,0.9929204545454545,116.87127272727274
2016-02-07,0.707945,1.11444,1.450425,0.66227,1.38875,0.992275,116.9365
2016-02-08,0.7087941666666667,1.11552,1.4455829166666667,0.6628870833333333,1.3910108333333333,0.9912,116.43595833333332
2016-02-09,0.704555,1.1245,1.4439933333333332,0.6615170833333334,1.3893133333333332,0.9784358333333333,114.97558333333332
2016-02-10,0.7085266666666666,1.1268545833333332,1.4494183333333333,0.66492,1.3904645833333333,0.9739083333333333,114.37004166666667
2016-02-11,0.7088579166666666,1.1316054166666667,1.4478279166666665,0.6679241666666668,1.39451625,0.9717279166666667,112.29199999999999
2016-02-12,0.7098581818181818,1.1275627272727273,1.4489759090909091,0.6652045454545454,1.3896959090909091,0.9752186363636363,112.72127272727272
2016-02-14,0.71105,1.123065,1.4508800000000002,0.6631,1.38466,0.9778199999999999,113.6035
2016-02-15,0.71460875,1.11857,1.4476587500000002,0.6655825000000001,1.38220875,0.98382125,114.14375
2016-02-16,0.7137329166666667,1.1154391666666668,1.43761125,0.6590791666666667,1.38141125,0.9876654166666667,114.19783333333334
2016-02-17,0.7132804166666666,1.114155,1.4293070833333335,0.65979,1.3792008333333332,0.9901695833333334,114.01474999999999
2016-02-18,0.7154425,1.1116129166666666,1.4322245833333334,0.6636979166666667,1.3693466666666667,0.9929716666666667,113.70708333333333
2016-02-19,0.7114490909090909,1.111609090909091,1.4319090909090908,0.6615195454545455,1.3777186363636362,0.9915422727272727,112.80763636363636
2016-02-21,0.714135,1.1118899999999998,1.42778,0.66275,1.378615,0.99055,112.5525
2016-02-22,0.7200175,1.10588125,1.4183620833333332,0.6681233333333334,1.3729241666666667,0.99568625,112.98433333333332
2016-02-23,0.7224120833333333,1.10223125,1.4081579166666665,0.6678525,1.3746275,0.9938316666666668,112.14929166666667
2016-02-24,0.71828375,1.10066625,1.3944908333333332,0.66276,1.3778241666666666,0.9907983333333333,111.79904166666667
2016-02-25,0.7197291666666666,1.10245875,1.3944341666666666,0.6684258333333334,1.3638141666666668,0.9899295833333334,112.53379166666667
